date,symbol,vol20,vol_rank_252,vol_state,vol_trend_10,vol_trend_state,dp_strength,dp_state,macro_stress,macro_state,compression_flag,regime_label,regime_id,vol_state_prev,vol_trend_state_prev,dp_state_prev,transition_label,transition_score,transition_flag,regime_ts
2024-05-29,WMT,,,unknown,,unknown,0.0,low,0.0,low,0,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,uull0,,,,,0,0,2026-06-04T23:50:29.319269+00:00
2024-05-30,WMT,,,unknown,,unknown,0.0,low,0.0,low,0,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,uull0,unknown,unknown,low,unknown->unknown | unknown->unknown | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-05-31,WMT,,,unknown,,unknown,0.0,low,0.0,low,0,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,uull0,unknown,unknown,low,unknown->unknown | unknown->unknown | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-06-03,WMT,,,unknown,,unknown,0.0,low,0.0,low,0,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,uull0,unknown,unknown,low,unknown->unknown | unknown->unknown | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-06-04,WMT,,,unknown,,unknown,0.0,low,0.0,low,0,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,uull0,unknown,unknown,low,unknown->unknown | unknown->unknown | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-06-05,WMT,,,unknown,,unknown,0.0,low,0.0,low,0,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,uull0,unknown,unknown,low,unknown->unknown | unknown->unknown | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-06-06,WMT,,,unknown,,unknown,0.0,low,0.0,low,0,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,uull0,unknown,unknown,low,unknown->unknown | unknown->unknown | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-06-07,WMT,,,unknown,,unknown,0.0,low,0.0,low,0,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,uull0,unknown,unknown,low,unknown->unknown | unknown->unknown | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-06-10,WMT,,,unknown,,unknown,0.0,low,0.0,low,0,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,uull0,unknown,unknown,low,unknown->unknown | unknown->unknown | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-06-11,WMT,0.01027065721123197,,unknown,,unknown,0.0,low,0.0,low,0,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,uull0,unknown,unknown,low,unknown->unknown | unknown->unknown | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-06-12,WMT,0.010107181165333243,,unknown,,unknown,0.0,low,0.0,low,0,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,uull0,unknown,unknown,low,unknown->unknown | unknown->unknown | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-06-13,WMT,0.009708366092815378,,unknown,,unknown,0.0,low,0.0,low,0,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,uull0,unknown,unknown,low,unknown->unknown | unknown->unknown | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-06-14,WMT,0.00932410816913397,,unknown,,unknown,0.0,low,0.0,low,0,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,uull0,unknown,unknown,low,unknown->unknown | unknown->unknown | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-06-17,WMT,0.009010369397856608,,unknown,,unknown,0.0,low,0.0,low,0,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,uull0,unknown,unknown,low,unknown->unknown | unknown->unknown | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-06-18,WMT,0.008682623824427853,,unknown,,unknown,0.0,low,0.0,low,0,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,uull0,unknown,unknown,low,unknown->unknown | unknown->unknown | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-06-20,WMT,0.008432511483610993,,unknown,,unknown,0.0,low,0.0,low,0,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,uull0,unknown,unknown,low,unknown->unknown | unknown->unknown | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-06-21,WMT,0.008231031783528799,,unknown,,unknown,0.0,low,0.0,low,0,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,uull0,unknown,unknown,low,unknown->unknown | unknown->unknown | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-06-24,WMT,0.008471625673946123,,unknown,,unknown,0.0,low,0.0,low,0,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,uull0,unknown,unknown,low,unknown->unknown | unknown->unknown | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-06-25,WMT,0.009997489255763077,,unknown,,unknown,0.0,low,0.0,low,0,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,uull0,unknown,unknown,low,unknown->unknown | unknown->unknown | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-06-26,WMT,0.01003489205472018,,unknown,-0.00023576515651179027,falling,0.0,low,0.0,low,0,unknown_vol|falling_voltrend|low_dp|low_macro|0_comp,ufll0,unknown,unknown,low,unknown->unknown | unknown->falling | low->low,1,0,2026-06-04T23:50:29.319269+00:00
2024-06-27,WMT,0.010171585966076818,,unknown,6.440480074357442e-05,rising,0.0,low,0.0,low,0,unknown_vol|rising_voltrend|low_dp|low_macro|0_comp,urll0,unknown,falling,low,unknown->unknown | falling->rising | low->low,1,0,2026-06-04T23:50:29.319269+00:00
2024-06-28,WMT,0.01021075095334229,,unknown,0.0005023848605269117,rising,0.0,low,0.0,low,0,unknown_vol|rising_voltrend|low_dp|low_macro|0_comp,urll0,unknown,rising,low,unknown->unknown | rising->rising | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-07-01,WMT,0.009925571681620967,,unknown,0.0006014635124869973,rising,0.0,low,0.0,low,0,unknown_vol|rising_voltrend|low_dp|low_macro|0_comp,urll0,unknown,rising,low,unknown->unknown | rising->rising | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-07-02,WMT,0.010061394421238297,,unknown,0.0010510250233816895,rising,0.0,low,0.0,low,0,unknown_vol|rising_voltrend|low_dp|low_macro|0_comp,urll0,unknown,rising,low,unknown->unknown | rising->rising | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-07-03,WMT,0.0097796722970014,,unknown,0.0010970484725735478,rising,0.0,low,0.0,low,0,unknown_vol|rising_voltrend|low_dp|low_macro|0_comp,urll0,unknown,rising,low,unknown->unknown | rising->rising | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-07-05,WMT,0.011221975750372079,,unknown,0.0027894642667610856,rising,0.0,low,0.0,low,0,unknown_vol|rising_voltrend|low_dp|low_macro|0_comp,urll0,unknown,rising,low,unknown->unknown | rising->rising | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-07-08,WMT,0.011339813793507571,,unknown,0.003108782009978772,rising,0.0,low,0.0,low,0,unknown_vol|rising_voltrend|low_dp|low_macro|0_comp,urll0,unknown,rising,low,unknown->unknown | rising->rising | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-07-09,WMT,0.010225758270874137,,unknown,0.0017541325969280142,rising,0.0,low,0.0,low,0,unknown_vol|rising_voltrend|low_dp|low_macro|0_comp,urll0,unknown,rising,low,unknown->unknown | rising->rising | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-07-10,WMT,0.009792509470730041,,unknown,-0.00020497978503303607,falling,0.0,low,0.0,low,0,unknown_vol|falling_voltrend|low_dp|low_macro|0_comp,ufll0,unknown,rising,low,unknown->unknown | rising->falling | low->low,1,0,2026-06-04T23:50:29.319269+00:00
2024-07-11,WMT,0.010027963348816253,,unknown,-6.928705903927121e-06,falling,0.0,low,0.0,low,0,unknown_vol|falling_voltrend|low_dp|low_macro|0_comp,ufll0,unknown,falling,low,unknown->unknown | falling->falling | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-07-12,WMT,0.010113029942379375,,unknown,-5.855602369744285e-05,falling,0.0,low,0.0,low,0,unknown_vol|falling_voltrend|low_dp|low_macro|0_comp,ufll0,unknown,falling,low,unknown->unknown | falling->falling | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-07-15,WMT,0.010103473874206478,,unknown,-0.00010727707913581186,falling,0.0,low,0.0,low,0,unknown_vol|falling_voltrend|low_dp|low_macro|0_comp,ufll0,unknown,falling,low,unknown->unknown | falling->falling | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-07-16,WMT,0.010113549037236278,,unknown,0.0001879773556153104,rising,0.0,low,0.0,low,0,unknown_vol|rising_voltrend|low_dp|low_macro|0_comp,urll0,unknown,falling,low,unknown->unknown | falling->rising | low->low,1,0,2026-06-04T23:50:29.319269+00:00
2024-07-17,WMT,0.010475942149924172,,unknown,0.000414547728685875,rising,0.0,low,0.0,low,0,unknown_vol|rising_voltrend|low_dp|low_macro|0_comp,urll0,unknown,rising,low,unknown->unknown | rising->rising | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-07-18,WMT,0.010551035308650505,,unknown,0.0007713630116491042,rising,0.0,low,0.0,low,0,unknown_vol|rising_voltrend|low_dp|low_macro|0_comp,urll0,unknown,rising,low,unknown->unknown | rising->rising | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-07-19,WMT,0.010539326763356364,,unknown,-0.0006826489870157149,falling,0.0,low,0.0,low,0,unknown_vol|falling_voltrend|low_dp|low_macro|0_comp,ufll0,unknown,rising,low,unknown->unknown | rising->falling | low->low,1,0,2026-06-04T23:50:29.319269+00:00
2024-07-22,WMT,0.010638091944563945,,unknown,-0.0007017218489436261,falling,0.0,low,0.0,low,0,unknown_vol|falling_voltrend|low_dp|low_macro|0_comp,ufll0,unknown,falling,low,unknown->unknown | falling->falling | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-07-23,WMT,0.010224326206615092,,unknown,-1.4320642590451294e-06,falling,0.0,low,0.0,low,1,unknown_vol|falling_voltrend|low_dp|low_macro|1_comp,ufll1,unknown,falling,low,unknown->unknown | falling->falling | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-07-24,WMT,0.00873445872881508,,unknown,-0.0010580507419149614,falling,0.0,low,0.0,low,1,unknown_vol|falling_voltrend|low_dp|low_macro|1_comp,ufll1,unknown,falling,low,unknown->unknown | falling->falling | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-07-25,WMT,0.008666822570958613,,unknown,-0.0013611407778576397,falling,0.0,low,0.0,low,0,unknown_vol|falling_voltrend|low_dp|low_macro|0_comp,ufll0,unknown,falling,low,unknown->unknown | falling->falling | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-07-26,WMT,0.00857137466755168,,unknown,-0.0015416552748276947,falling,0.0,low,0.0,low,0,unknown_vol|falling_voltrend|low_dp|low_macro|0_comp,ufll0,unknown,falling,low,unknown->unknown | falling->falling | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-07-29,WMT,0.008566411841257407,,unknown,-0.001537062032949071,falling,0.1838534803187161,low,0.0,low,0,unknown_vol|falling_voltrend|low_dp|low_macro|0_comp,ufll0,unknown,falling,low,unknown->unknown | falling->falling | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-07-30,WMT,0.008670695023226739,,unknown,-0.0014428540140095387,falling,0.1838534803187161,low,0.0,low,0,unknown_vol|falling_voltrend|low_dp|low_macro|0_comp,ufll0,unknown,falling,low,unknown->unknown | falling->falling | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-07-31,WMT,0.008718498516387984,,unknown,-0.001757443633536188,falling,0.1838534803187161,low,0.0,low,0,unknown_vol|falling_voltrend|low_dp|low_macro|0_comp,ufll0,unknown,falling,low,unknown->unknown | falling->falling | low->low,0,0,2026-06-04T23:50:29.319269+00:00
2024-08-01,WMT,0.00944686130445665,,unknown,-0.0011041740041938548,falling,0.1838534803187161,low,0.0,low,0,unknown_vol|falling_voltrend|low_dp|low_macro|0_comp,ufll0,unknown,falling,low,unknown->unknown | falling->falling | low->low,0,0,2026-06-04T23:50:29.319269+00:00
