event_type,gap_direction,fill_path_type,vol_state,open_regime_label,n,fill_rate,direct_fill_rate,failed_fill_rate,avg_time_to_fill_minutes,median_time_to_fill_minutes,avg_MAE_pct,median_MAE_pct,avg_MFE_pct,median_MFE_pct,payoff_ratio,expectancy,sortino_ratio,max_drawdown,stop_out_rate_proxy,sample_quality,tradability_score,build_ts
UNCLASSIFIED,UP,UNCLASSIFIED,high,NO_SETUP,4,0.25,0.0,0.0,75.00000022351742,75.00000022351742,0.004265772493221529,0.004030512246769937,0.013181858989951127,0.013539195820185364,,506.73387941931696,,0.0,0.027777777777777776,BOOTSTRAP_OK,20275.562519047748,2026-05-28T12:42:04.255426+00:00
UNCLASSIFIED,UP,ROTATIONAL_BALANCE_THEN_FILL,mid,NO_SETUP,8,1.0,0.0,0.0,144.3750001117587,120.00000022351742,0.00015369908562994764,5.1988606861989796e-05,0.007709342784810259,0.007797708736883598,,246.59586363182973,,0.0,0.0,BOOTSTRAP_OK,9888.833008282332,2026-05-28T12:42:04.255426+00:00
UNCLASSIFIED,UP,ROTATIONAL_BALANCE_THEN_FILL,low,NO_SETUP,3,1.0,0.0,0.0,115.0000000745058,120.00000022351742,0.0006162484064893492,0.00014913534364710974,0.006140319646417646,0.005421749781262922,,201.99987670329574,,0.0,0.0,BOOTSTRAP_OK,8104.988905647765,2026-05-28T12:42:04.255426+00:00
UNCLASSIFIED,DOWN,DIRECT_FILL,high,NO_SETUP,2,1.0,1.0,0.0,29.99999988824129,29.99999988824129,0.0003380090596740238,0.0003380090596740238,0.012050929982451657,0.012050929982451657,,172.18489196565483,,0.0,0.0,LOW_SAMPLE,6912.392298535597,2026-05-28T12:42:04.255426+00:00
CLEAN_BREAKOUT,DOWN,UNCLASSIFIED,high,ACCEPTED_BREAKOUT_OPEN_STRONG,1,1.0,0.0,0.0,75.00000022351742,75.00000022351742,0.0007295769285527566,0.0007295769285527566,0.10708494912685607,0.10708494912685607,,146.77677560237242,,0.0,0.0,LOW_SAMPLE,5896.063728325612,2026-05-28T12:42:04.255426+00:00
UNCLASSIFIED,DOWN,ROTATIONAL_BALANCE_THEN_FILL,low,NO_SETUP,1,1.0,0.0,0.0,90.0,90.0,5.846138606174772e-05,5.846138606174772e-05,0.0062434454271600645,0.0062434454271600645,,106.79605544359916,,0.0,0.0,LOW_SAMPLE,4296.841633130105,2026-05-28T12:42:04.255426+00:00
CLEAN_BREAKOUT,DOWN,ROTATIONAL_BALANCE_THEN_FILL,low,NO_SETUP,1,1.0,0.0,0.0,165.00000022351742,165.00000022351742,0.00012060695178818724,0.00012060695178818724,0.009349061703059183,0.009349061703059183,,77.5167729923083,,0.0,0.0,LOW_SAMPLE,3125.669713622814,2026-05-28T12:42:04.255426+00:00
CLEAN_BREAKDOWN,UP,DIRECT_FILL,low,NO_SETUP,1,1.0,1.0,0.0,90.0,90.0,9.780173875479732e-05,9.780173875479732e-05,0.007261003889658265,0.007261003889658265,,74.24207362879937,,0.0,0.0,LOW_SAMPLE,2994.6819671345875,2026-05-28T12:42:04.255426+00:00
CLEAN_BREAKDOWN,UP,UNCLASSIFIED,mid,UNRESOLVED_OPEN,1,1.0,0.0,0.0,315.0,315.0,0.0002656022438770377,0.0002656022438770377,0.016903322240192774,0.016903322240192774,,63.64148884230917,,0.0,0.0,LOW_SAMPLE,2570.656897669928,2026-05-28T12:42:04.255426+00:00
CLEAN_BREAKOUT,DOWN,UNCLASSIFIED,high,NO_SETUP,1,1.0,0.0,0.0,90.0,90.0,0.0003693141112997957,0.0003693141112997957,0.022196221021495755,0.022196221021495755,,60.10119933781158,,0.0,0.0,LOW_SAMPLE,2429.04428037135,2026-05-28T12:42:04.255426+00:00
CLEAN_BREAKDOWN,DOWN,LIQUIDITY_VACUUM_CONTINUATION,high,NO_SETUP,3,0.0,0.0,1.0,,,0.015507152995387054,0.015336327670040428,0.0021612268750528982,0.0012907726651272002,149.31085100432264,0.13578058650608862,,0.0,0.6419753086419754,BOOTSTRAP_OK,2244.938916995129,2026-05-28T12:42:04.255426+00:00
CLEAN_BREAKOUT,DOWN,UNCLASSIFIED,mid,NO_SETUP,1,1.0,0.0,0.0,90.0,90.0,0.00019579611719825827,0.00019579611719825827,0.01065863674700798,0.01065863674700798,,54.43742654107544,,0.0,0.0,LOW_SAMPLE,2202.495103681845,2026-05-28T12:42:04.255426+00:00
UNCLASSIFIED,UP,FAILED_FILL_CONTINUATION,high,NO_SETUP,8,0.0,0.0,1.0,,,0.0069395178697454225,0.007502716592751264,0.0012956784273211565,0.0012973621693416072,119.12817750423753,0.26876960377880965,5.0601600907978195e+17,-0.010884281909187221,0.5227920227920229,BOOTSTRAP_OK,1797.6040515360178,2026-05-28T12:42:04.255426+00:00
CLEAN_BREAKDOWN,DOWN,UNCLASSIFIED,mid,NO_SETUP,1,0.0,0.0,0.0,,,0.00021855308271107897,0.00021855308271107897,0.00812024421450724,0.00812024421450724,,37.15456269835358,,0.0,0.0,LOW_SAMPLE,1486.180322403316,2026-05-28T12:42:04.255426+00:00
CLEAN_BREAKDOWN,UP,DIRECT_FILL,high,NO_SETUP,1,1.0,1.0,0.0,30.000000223517418,30.000000223517418,0.0005021879053699075,0.0005021879053699075,0.01779314923209539,0.01779314923209539,,35.43125798497497,,0.0,0.0,LOW_SAMPLE,1442.245297519945,2026-05-28T12:42:04.255426+00:00
