date,symbol,open,high,low,close,volume,prev_close,ret_1d,gap_open_pct,gap_abs_pct,intraday_range_pct,true_range_pct,vol20,cluster_score,trigger_gap_15,trigger_range_15,trigger_tr_15,trigger_any_15,trigger_cluster,compression_flag,label_next_day_expansion,permission_strength,permission_reason,trade_permission,day_type,open_orb_range,close_orb_range,open_orb_share,close_orb_share,edge_orb_share,edge_orb_bias,edge_orb_flag,feature_ts,feature_version
2024-02-01,SPY,484.6300048828125,489.2300109863281,483.79998779296875,489.20001220703125,91891600.0,482.8800048828125,0.013088152875065706,0.0036240887638838704,0.0036240887638838704,0.01109980183537152,0.012980388276908462,,0.0,0,0,0,0,0.0,0,0,0,none,0,trend,,,,,,,0,2026-02-07T00:44:13.949095+00:00,v1_clean_daily_features_orb_trend
2024-02-02,SPY,489.6499938964844,496.04998779296875,489.29998779296875,494.3500061035156,99228200.0,489.20001220703125,0.010527378920638375,0.000919831721636788,0.000919831721636788,0.013654293348155775,0.013856529789347535,,0.0,0,0,0,0,0.0,0,0,0,none,0,range,,,,,,,0,2026-02-07T00:44:13.949095+00:00,v1_clean_daily_features_orb_trend
2024-02-05,SPY,493.70001220703125,494.3800048828125,490.2300109863281,492.54998779296875,75757100.0,494.3500061035156,-0.003641181932482751,-0.0013148455314234697,0.0013148455314234697,0.008425528371404046,0.008425528371404046,,0.0,0,0,0,0,0.0,0,0,0,none,0,range,,,,,,,0,2026-02-07T00:44:13.949095+00:00,v1_clean_daily_features_orb_trend
2024-02-06,SPY,493.5199890136719,494.32000732421875,492.04998779296875,493.9800109863281,55918600.0,492.54998779296875,0.0029033057127196837,0.001969345741027251,0.001969345741027251,0.0045953671824037175,0.0045953671824037175,,0.0,0,0,0,0,0.0,0,0,0,none,0,range,,,,,,,0,2026-02-07T00:44:13.949095+00:00,v1_clean_daily_features_orb_trend
2024-02-07,SPY,496.2900085449219,498.5299987792969,495.3599853515625,498.1000061035156,70556500.0,493.9800109863281,0.008340408570300495,0.004676297637998372,0.004676297637998372,0.006364210778739841,0.009134687286117332,,0.0,0,0,0,0,0.0,0,0,0,none,0,trend,,,,,,,0,2026-02-07T00:44:13.949095+00:00,v1_clean_daily_features_orb_trend
2024-02-08,SPY,498.1000061035156,498.7099914550781,497.260009765625,498.32000732421875,52343600.0,498.1000061035156,0.000441680823142665,0.0,0.0,0.0029097400628944298,0.0029097400628944298,,0.0,0,0,0,0,0.0,0,0,0,none,0,range,,,,,,,0,2026-02-07T00:44:13.949095+00:00,v1_clean_daily_features_orb_trend
2024-02-09,SPY,498.8399963378906,501.6499938964844,498.489990234375,501.20001220703125,63979400.0,498.32000732421875,0.0057794285609300555,0.0010434841186972577,0.0010434841186972577,0.00630487546916513,0.00664402731676332,,0.0,0,0,0,0,0.0,0,0,0,none,0,trend,,,,,,,0,2026-02-07T00:44:13.949095+00:00,v1_clean_daily_features_orb_trend
2024-02-12,SPY,501.1700134277344,503.5,500.239990234375,500.9800109863281,56502300.0,501.20001220703125,-0.0004389489532020674,-5.985390775387067e-05,5.985390775387067e-05,0.006507265148576889,0.006507265148576889,,0.0,0,0,0,0,0.0,0,0,0,none,0,range,,,,,,,0,2026-02-07T00:44:13.949095+00:00,v1_clean_daily_features_orb_trend
2024-02-13,SPY,494.5299987792969,497.0899963378906,490.7200012207031,494.0799865722656,113099200.0,500.9800109863281,-0.01377305334094614,-0.012874789543663612,0.012874789543663612,0.012892639431481617,0.020765888205278155,,0.0,0,0,1,0,0.0,0,0,0,none,0,range,,,,,,,0,2026-02-07T00:44:13.949095+00:00,v1_clean_daily_features_orb_trend
2024-02-14,SPY,496.7900085449219,499.07000732421875,494.3999938964844,498.57000732421875,68387800.0,494.0799865722656,0.009087639398436487,0.005484986330770658,0.005484986330770658,0.009366815811480368,0.010008666142462371,0.00799320753184135,0.0,0,0,0,0,0.0,0,0,0,none,0,range,,,,,,,0,2026-02-07T00:44:13.949095+00:00,v1_clean_daily_features_orb_trend
